Date,Open,High,Low,Close,Adj Close,Volume
2021-09-10,361.0299987792969,361.1300048828125,351.5,352.82000732421875,352.82000732421875,749200
2021-09-13,356.8399963378906,357.9200134277344,351.20001220703125,352.6600036621094,352.6600036621094,498900
2021-09-14,355.04998779296875,359.8399963378906,352.75,356.57000732421875,356.57000732421875,542100
2021-09-15,355.5899963378906,357.1400146484375,352.5,355.4599914550781,355.4599914550781,385500
2021-09-16,356.0899963378906,356.9800109863281,352.5,355.42999267578125,355.42999267578125,325600
2021-09-17,352.45001220703125,355.6700134277344,350.0299987792969,352.70001220703125,352.70001220703125,825800
2021-09-20,351.30999755859375,356.6600036621094,349.67999267578125,353.42999267578125,353.42999267578125,521500
2021-09-21,354.1000061035156,359.0199890136719,352.8399963378906,354.3500061035156,354.3500061035156,358000
2021-09-22,355.7699890136719,360.79998779296875,352.7099914550781,358.4800109863281,358.4800109863281,355400
2021-09-23,357.69000244140625,358.42999267578125,350.69000244140625,353.6499938964844,353.6499938964844,402500
2021-09-24,351.9200134277344,353.5799865722656,343.6300048828125,344.92999267578125,344.92999267578125,683700
2021-09-27,344.6199951171875,344.6199951171875,335.8500061035156,336.0,336.0,584000
2021-09-28,333.2200012207031,335.29998779296875,329.57000732421875,331.6000061035156,331.6000061035156,623700
2021-09-29,333.55999755859375,335.5400085449219,331.6700134277344,332.7799987792969,332.7799987792969,442300
2021-09-30,334.260009765625,335.44000244140625,330.5400085449219,330.57000732421875,330.57000732421875,472200
2021-10-01,331.17999267578125,336.20001220703125,328.7799987792969,333.57000732421875,333.57000732421875,429300
2021-10-04,332.3500061035156,335.260009765625,329.69000244140625,334.1600036621094,334.1600036621094,457900
2021-10-05,334.1600036621094,335.05999755859375,329.1700134277344,330.760009765625,330.760009765625,490200
2021-10-06,329.6099853515625,337.07000732421875,327.1199951171875,336.82000732421875,336.82000732421875,687300
2021-10-07,337.3599853515625,343.55999755859375,337.3599853515625,337.8999938964844,337.8999938964844,434400
2021-10-08,337.55999755859375,337.55999755859375,329.4100036621094,329.8599853515625,329.8599853515625,395200
2021-10-11,329.9100036621094,332.9800109863281,328.20001220703125,329.82000732421875,329.82000732421875,318000
2021-10-12,330.70001220703125,336.3699951171875,329.8999938964844,333.9200134277344,333.9200134277344,362700
2021-10-13,331.2699890136719,332.79998779296875,323.8900146484375,326.70001220703125,326.70001220703125,899700
2021-10-14,328.4700012207031,331.6199951171875,325.989990234375,326.8699951171875,326.8699951171875,614000
2021-10-15,328.489990234375,330.989990234375,322.67999267578125,326.8999938964844,326.8999938964844,486800
2021-10-18,324.5199890136719,327.1700134277344,323.0199890136719,323.3999938964844,323.3999938964844,393800
2021-10-19,329.6000061035156,335.7099914550781,327.05999755859375,332.17999267578125,332.17999267578125,549900
2021-10-20,332.20001220703125,337.1099853515625,332.20001220703125,336.30999755859375,336.30999755859375,280000
2021-10-21,336.489990234375,340.3900146484375,333.7799987792969,340.1600036621094,340.1600036621094,307100
2021-10-22,341.04998779296875,348.7099914550781,339.6300048828125,345.6199951171875,345.6199951171875,746500
2021-10-25,346.42999267578125,349.9800109863281,342.2900085449219,349.2200012207031,349.2200012207031,459000
2021-10-26,349.2799987792969,355.3699951171875,349.0899963378906,354.1300048828125,354.1300048828125,379700
2021-10-27,355.95001220703125,357.29998779296875,346.8699951171875,349.3500061035156,349.3500061035156,656300
2021-10-28,347.7099914550781,353.3900146484375,347.42999267578125,353.0199890136719,353.0199890136719,393400
2021-10-29,351.1099853515625,354.739990234375,342.82000732421875,345.3299865722656,345.3299865722656,705900
2021-11-01,345.3299865722656,350.6199951171875,343.1499938964844,347.3999938964844,347.3999938964844,631700
2021-11-02,347.010009765625,361.20001220703125,344.1600036621094,358.3399963378906,358.3399963378906,722800
2021-11-03,360.75,361.82000732421875,347.8999938964844,352.0,352.0,449500
2021-11-04,352.260009765625,354.9800109863281,345.04998779296875,346.4700012207031,346.4700012207031,517300
2021-11-05,348.3399963378906,350.6600036621094,343.5400085449219,344.2099914550781,344.2099914550781,432700
2021-11-08,345.260009765625,348.57000732421875,338.489990234375,347.989990234375,347.989990234375,426500
2021-11-09,349.0299987792969,350.260009765625,342.7099914550781,349.4599914550781,349.4599914550781,399600
2021-11-10,347.489990234375,350.8599853515625,342.2799987792969,342.5199890136719,342.5199890136719,403100
2021-11-11,343.1000061035156,343.6700134277344,335.7099914550781,342.92999267578125,342.92999267578125,343000
2021-11-12,345.6400146484375,347.0899963378906,342.19000244140625,343.7699890136719,343.7699890136719,472500
2021-11-15,343.30999755859375,348.5400085449219,341.9599914550781,348.07000732421875,348.07000732421875,434400
2021-11-16,350.0,352.6300048828125,346.6099853515625,347.3800048828125,347.3800048828125,452400
2021-11-17,347.3399963378906,351.82000732421875,344.57000732421875,350.2900085449219,350.2900085449219,430600
2021-11-18,351.6000061035156,351.6000061035156,343.3399963378906,345.239990234375,345.239990234375,402100
2021-11-19,347.79998779296875,350.260009765625,344.3500061035156,344.989990234375,344.989990234375,417000
2021-11-22,342.3900146484375,348.44000244140625,340.8399963378906,343.82000732421875,343.82000732421875,660500
2021-11-23,343.82000732421875,349.54998779296875,343.3699951171875,348.95001220703125,348.95001220703125,488900
2021-11-24,349.760009765625,355.5299987792969,346.8900146484375,354.4599914550781,354.4599914550781,428300
2021-11-26,350.69000244140625,359.80999755859375,350.30999755859375,351.04998779296875,351.04998779296875,247200
2021-11-29,351.54998779296875,359.1099853515625,349.32000732421875,355.57000732421875,355.57000732421875,540400
2021-11-30,352.760009765625,356.9200134277344,340.7699890136719,343.79998779296875,343.79998779296875,1397000
2021-12-01,345.69000244140625,353.4700012207031,339.07000732421875,339.29998779296875,339.29998779296875,581100
2021-12-02,339.57000732421875,349.2099914550781,339.3699951171875,348.0400085449219,348.0400085449219,694800
2021-12-03,348.489990234375,354.1400146484375,345.239990234375,348.69000244140625,348.69000244140625,740200
